,count,mean,std,min,25%,50%,75%,max,skew,kurt
KBDBE.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361968,29494.99999999998
KBDHE319.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361968,29494.99999999998
KBDLT1.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361968,29494.99999999998
KBDUSL.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361968,29494.99999999998
MSCTF.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361968,29494.99999999998
MSLS31.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361968,29494.99999999998
SHFOLDER.DLL,29495.0,0.0142397016443465,0.11847956982723457,0.0,0.0,0.0,0.0,1.0,8.20045582174304,65.25190028735152
THEMEUI.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361968,29494.99999999998
USP10.DLL,29495.0,0.00010171215460247499,0.010084902451703303,0.0,0.0,0.0,0.0,1.0,99.1446748628182,9828.33299426754
WSHIP6.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361968,29494.99999999998
ZIPFLDR.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361968,29494.99999999998
MSACM32.DLL,29495.0,0.000915409391422275,0.030242394511614788,0.0,0.0,0.0,0.0,1.0,33.00786481646906,1087.5928873484702
WEBSERVICES.DLL,29495.0,0.000305136463807425,0.017465786501104988,0.0,0.0,0.0,0.0,1.0,57.223732714596984,3272.77750662204
NORMALIZ.DLL,29495.0,0.00010171215460247499,0.010084902451703303,0.0,0.0,0.0,0.0,1.0,99.1446748628182,9828.332994267535
WSNMP32.DLL,29495.0,0.0007797931852856416,0.027914360574829,0.0,0.0,0.0,0.0,1.0,35.77040992554062,1277.6088584699714
MF.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361968,29494.99999999999
ADSLDPC.DLL,29495.0,6.780810306831667e-05,0.008234427971689884,0.0,0.0,0.0,0.0,1.0,121.43310874009305,14744.9997287423
MSIMTF.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29494.999999999996
OLEPRN.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29494.999999999996
PSTOREC.DLL,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.7410841936197,29494.99999999999
API-MS-WIN-CRT-MULTIBYTE-L1-1-0.DLL,29495.0,6.780810306831667e-05,0.008234427971689886,0.0,0.0,0.0,0.0,1.0,121.43310874009293,14744.999728742288
MSVFW32.DLL,29495.0,0.0005424648245465334,0.023284950909597972,0.0,0.0,0.0,0.0,1.0,42.902508721563954,1838.7499367447874
HHCTRL.OCX,29495.0,3.3904051534158335e-05,0.005822718569032711,0.0,0.0,0.0,0.0,1.0,171.74108419361974,29494.999999999996
GLU32.DLL,29495.0,0.00010171215460247499,0.010084902451703303,0.0,0.0,0.0,0.0,1.0,99.14467486281819,9828.332994267534
CLFSW32.DLL,29495.0,6.780810306831667e-05,0.008234427971689886,0.0,0.0,0.0,0.0,1.0,121.43310874009295,14744.999728742292
DHCPSAPI.DLL,29495.0,6.780810306831667e-05,0.008234427971689886,0.0,0.0,0.0,0.0,1.0,121.43310874009295,14744.999728742292
